s653575366.c,1,s653575366.c,1,1,3,14,5,3,0,3,3,2,7,,1,"32.000000;31.000000;31.000000",1
s653586721.c,1,s653586721.c,1,1,3,14,6,3,0,1,1,2,6,,1,"32.000000;31.000000;31.000000",3
s653623076.c,1,s653623076.c,1,1,4,15,6,4,0,6,6,3,13,,1,"32.000000;31.000000;19.375000;31.000000",6
s653628312.c,1,s653628312.c,1,1,3,13,5,3,0,3,3,2,7,,1,"32.000000;31.000000;31.000000",5
s653651209.c,1,s653651209.c,1,1,3,20,9,3,0,8,8,5,18,,1,"32.000000;31.000000;31.000000",3
s653675099.c,1,s653675099.c,1,1,3,13,5,3,0,3,3,2,7,,1,"32.000000;31.000000;31.000000",1
s653690372.c,1,s653690372.c,1,1,3,14,7,3,0,6,6,5,10,,1,"32.000000;31.000000;31.000000",1
s653697981.c,1,s653697981.c,1,1,3,12,6,3,0,2,2,2,4,,1,"32.000000;31.000000;31.000000",1
s653715123.c,1,s653715123.c,1,1,7,27,12,7,0,2,2,4,8,,1,"32.000000;31.000000;992.000000;31.000000;31.000000;961.000000;961.000000",6
s653719730.c,1,s653719730.c,1,1,18,137,58,18,3,4,4,6,78,,1,"32.000000;31.000000;992.000000;31.000000;31.000000;961.000000;480.500000;240.250000;240.250000;480.500000;961.000000;480.500000;480.500000;961.000000;480.500000;480.500000;961.000000;961.000000",7
s653719730.c,2,s653719730.c,2,2,14,125,53,14,3,3,3,4,75,,1,"992.000000;961.000000;480.500000;240.250000;240.250000;480.500000;961.000000;480.500000;480.500000;961.000000;480.500000;480.500000;961.000000;961.000000",4
s653730117.c,1,s653730117.c,1,1,5,26,10,5,0,2,2,2,12,,1,"32.000000;31.000000;15.500000;31.000000;31.000000",1
s653739988.c,1,s653739988.c,1,1,3,14,6,3,0,4,4,5,7,,1,"32.000000;31.000000;31.000000",5
s653739988.c,2,s653739988.c,2,1,7,47,20,7,0,5,5,7,15,,1,"32.000000;31.000000;992.000000;31.000000;961.000000;480.500000;961.000000",1
s653745325.c,1,s653745325.c,1,1,5,26,8,5,0,4,4,2,12,,1,"32.000000;31.000000;15.500000;31.000000;31.000000",8
s653787947.c,1,s653787947.c,1,1,17,52,18,17,0,8,8,9,21,,1,"16.253968;15.746032;15.253968;488.126984;15.253968;472.873016;15131.936508;472.873016;472.873016;14659.063492;9161.914683;4580.957341;2863.098338;1431.549169;13227.514323;14659.063492;14659.063492",1
s653821029.c,1,s653821029.c,1,1,14,52,14,14,0,48,48,33,75,,1,"32.000000;31.000000;15.500000;7.750000;3.875000;1.453125;2.421875;3.875000;7.750000;7.750000;15.500000;15.500000;31.000000;31.000000",6
s653871352.c,1,s653871352.c,1,1,2,12,6,2,0,2,2,2,4,,1,"32.000000;31.000000",7
s653871873.c,1,s653871873.c,1,1,3,15,6,3,0,4,4,5,7,,1,"32.000000;31.000000;31.000000",1
s653879025.c,1,s653879025.c,1,1,3,21,10,3,0,2,2,2,10,,0,"16.253968;15.746032;15.253968",1
s653917520.c,1,s653917520.c,1,1,9,38,15,9,0,11,11,9,17,,1,"32.000000;31.000000;11.625000;7.265625;4.359375;11.625000;19.375000;31.000000;31.000000",3
s653933124.c,1,s653933124.c,1,1,18,53,18,18,0,8,8,9,21,,1,"85.333333;32.000000;84.333333;2698.666667;84.333333;84.333333;2614.333333;83658.666667;2614.333333;2614.333333;81044.333334;50652.708334;25326.354167;15828.971354;7914.485677;73129.847657;81044.333334;81044.333334",6
s653981012.c,1,s653981012.c,1,1,11,43,11,11,0,43,43,28,69,,1,"32.000000;31.000000;15.500000;7.750000;2.906250;4.843750;7.750000;7.750000;15.500000;15.500000;31.000000",3
s653986705.c,1,s653986705.c,1,1,3,13,5,3,0,3,3,2,7,,1,"32.000000;31.000000;31.000000",6
s654002914.c,1,s654002914.c,1,1,4,24,10,4,0,11,11,7,21,,1,"4096.000000;2560.000000;1536.000000;4096.000000",5
